timestamp,n_txs,total,total_bytes
2025-03-25 08:04:37,0,0,0
2025-03-25 08:04:41,0,0,0
2025-03-25 08:04:45,0,0,0
2025-03-25 08:04:46,1,1,313
2025-03-25 08:04:50,3,3,974
2025-03-25 08:04:54,3,3,1571
2025-03-25 08:04:58,3,3,1372
2025-03-25 08:05:12,2,2,1099
2025-03-25 08:05:14,3,3,1078
2025-03-25 08:05:15,3,3,1103
2025-03-25 08:05:17,4,4,8436
2025-03-25 08:05:17,4,4,8164
2025-03-25 08:05:18,2,2,989
2025-03-25 08:05:20,0,0,0
2025-03-25 08:05:22,2,2,815
2025-03-25 08:05:24,2,2,22979
2025-03-25 08:05:25,1,1,439
2025-03-25 08:05:27,0,0,0
2025-03-25 08:05:29,1,1,457
2025-03-25 08:05:30,1,1,1265
2025-03-25 08:05:32,5,5,2391
2025-03-25 08:05:33,8,8,3868
2025-03-25 08:05:35,7,7,2825
2025-03-25 08:05:37,6,6,63184
2025-03-25 08:05:39,9,9,21752
2025-03-25 08:05:41,2,2,28521
2025-03-25 08:05:43,2,2,980
2025-03-25 08:05:45,11,11,40352
2025-03-25 08:05:47,5,5,32652
2025-03-25 08:05:46,19,19,20009
2025-03-25 08:05:48,31,31,47398
2025-03-25 08:05:50,9,9,15832
2025-03-25 08:05:52,5,5,10333
2025-03-25 08:05:54,3,3,42285
2025-03-25 08:05:56,2,2,1064
2025-03-25 08:05:58,6,6,29862
2025-03-25 08:06:00,11,11,5552
2025-03-25 08:06:02,8,8,35911
2025-03-25 08:06:06,7,7,3316
2025-03-25 08:06:08,8,8,12330
2025-03-25 08:06:10,12,12,12342
2025-03-25 08:06:12,4,4,1497
2025-03-25 08:06:13,8,8,2931
2025-03-25 08:06:16,3,3,32689
2025-03-25 08:06:18,12,12,29016
2025-03-25 08:06:20,4,4,40963
2025-03-25 08:06:22,11,11,8474
2025-03-25 08:06:24,2,2,763
2025-03-25 08:06:26,1,1,663
2025-03-25 08:06:28,6,6,29964
2025-03-25 08:06:30,1,1,27711
2025-03-25 08:06:32,1,1,508
2025-03-25 08:06:30,3,3,1369
2025-03-25 08:06:31,6,6,2765
2025-03-25 08:06:33,5,5,2804
2025-03-25 08:06:34,3,3,1372
2025-03-25 08:06:42,1,1,610
2025-03-25 08:06:44,2,2,1054
2025-03-25 08:06:46,2,2,2757
2025-03-25 08:06:48,5,5,18704
2025-03-25 08:06:49,2,2,881
2025-03-25 08:06:51,6,6,18140
2025-03-25 08:06:53,0,0,0
2025-03-25 08:06:55,6,6,2865
2025-03-25 08:06:56,3,3,1212
2025-03-25 08:06:59,4,4,10337
2025-03-25 08:06:59,3,3,40074
2025-03-25 08:07:02,6,6,41513
2025-03-25 08:07:04,2,2,43102
2025-03-25 08:07:06,1,1,514
2025-03-25 08:07:08,5,5,15859
2025-03-25 08:07:09,6,6,2527
2025-03-25 08:07:11,5,5,10767
2025-03-25 08:07:13,2,2,17192
2025-03-25 08:07:15,2,2,27982
2025-03-25 08:07:17,1,1,444
2025-03-25 08:07:18,0,0,0
2025-03-25 08:07:21,4,4,20891
2025-03-25 08:07:23,4,4,1902
2025-03-25 08:07:24,3,3,29054
2025-03-25 08:07:26,3,3,25192
2025-03-25 08:07:28,6,6,2747
2025-03-25 08:07:29,4,4,1769
2025-03-25 08:07:31,3,3,1268
2025-03-25 08:07:30,4,4,24403
2025-03-25 08:07:32,4,4,2212
2025-03-25 08:07:33,3,3,1541
2025-03-25 08:07:35,1,1,501
2025-03-25 08:07:37,0,0,0
2025-03-25 08:07:39,4,4,1765
2025-03-25 08:07:40,5,5,2324
2025-03-25 08:07:43,21,21,51020
2025-03-25 08:07:44,9,9,4967
2025-03-25 08:07:46,8,8,4365
2025-03-25 08:07:48,3,3,3124
2025-03-25 08:07:50,12,12,38307
2025-03-25 08:07:51,2,2,959
2025-03-25 08:07:53,10,10,4982
2025-03-25 08:07:56,4,4,63476
2025-03-25 08:07:58,4,4,1863
2025-03-25 08:08:00,1,1,334
2025-03-25 08:07:59,4,4,1677
2025-03-25 08:08:01,2,2,789
2025-03-25 08:08:03,4,4,30036
2025-03-25 08:08:05,2,2,955
2025-03-25 08:08:07,4,4,1655
2025-03-25 08:08:13,4,4,18354
2025-03-25 08:08:15,4,4,1522
2025-03-25 08:08:17,3,3,972
2025-03-25 08:08:19,0,0,0
2025-03-25 08:08:21,5,5,2006
2025-03-25 08:08:22,4,4,1577
2025-03-25 08:08:24,5,5,17552
2025-03-25 08:08:26,6,6,34260
2025-03-25 08:08:28,1,1,324
2025-03-25 08:08:30,3,3,9198
2025-03-25 08:08:29,1,1,468
2025-03-25 08:08:32,1,1,39307
2025-03-25 08:08:33,1,1,462
2025-03-25 08:08:35,2,2,634
2025-03-25 08:08:37,1,1,473
2025-03-25 08:08:38,1,1,461
2025-03-25 08:08:40,1,1,490
2025-03-25 08:08:42,1,1,328
2025-03-25 08:08:43,1,1,484
2025-03-25 08:08:45,1,1,547
2025-03-25 08:08:47,0,0,0
2025-03-25 08:08:48,0,0,0
2025-03-25 08:08:50,2,2,694
2025-03-25 08:08:52,1,1,363
2025-03-25 08:08:53,2,2,2846
2025-03-25 08:08:55,5,5,20031
2025-03-25 08:08:58,4,4,68835
2025-03-25 08:09:00,6,6,78078
2025-03-25 08:09:01,1,1,327
2025-03-25 08:09:00,1,1,467
2025-03-25 08:09:02,2,2,959
2025-03-25 08:09:04,2,2,41747
2025-03-25 08:09:06,3,3,2237
2025-03-25 08:09:09,3,3,23618
2025-03-25 08:09:12,3,3,64357
2025-03-25 08:09:13,4,4,35496
2025-03-25 08:09:15,8,8,37128
2025-03-25 08:09:16,4,4,8211
2025-03-25 08:09:18,2,2,7432
2025-03-25 08:09:20,1,1,469
2025-03-25 08:09:22,1,1,466
2025-03-25 08:09:24,1,1,466
2025-03-25 08:09:26,1,1,741
2025-03-25 08:09:28,3,3,23600
2025-03-25 08:09:30,2,2,766
2025-03-25 08:09:29,2,2,769
2025-03-25 08:09:30,3,3,1300
2025-03-25 08:09:32,3,3,1355
2025-03-25 08:09:34,6,6,4408
2025-03-25 08:09:36,1,1,444
2025-03-25 08:09:37,1,1,314
2025-03-25 08:09:39,3,3,1250
2025-03-25 08:09:40,1,1,378
2025-03-25 08:09:42,3,3,1386
2025-03-25 08:09:44,1,1,8770
2025-03-25 08:09:46,5,5,17330
2025-03-25 08:09:47,0,0,0
2025-03-25 08:09:48,1,1,1629
2025-03-25 08:09:50,1,1,463
2025-03-25 08:09:52,5,5,2851
2025-03-25 08:09:54,0,0,0
2025-03-25 08:09:56,3,3,1630
2025-03-25 08:09:57,3,3,1973
2025-03-25 08:09:59,1,1,324
2025-03-25 08:09:59,0,0,0
2025-03-25 08:10:00,1,1,499
2025-03-25 08:10:02,1,1,323
2025-03-25 08:10:04,1,1,741
2025-03-25 08:10:06,1,1,445
2025-03-25 08:10:07,0,0,0
2025-03-25 08:10:11,3,3,41993
2025-03-25 08:10:13,1,1,485
2025-03-25 08:10:15,1,1,485
2025-03-25 08:10:17,3,3,8243
2025-03-25 08:10:18,1,1,383
2025-03-25 08:10:20,2,2,1037
2025-03-25 08:10:22,1,1,416
2025-03-25 08:10:24,1,1,443
2025-03-25 08:10:25,1,1,443
2025-03-25 08:10:27,2,2,5131
2025-03-25 08:10:29,2,2,1559
2025-03-25 08:10:31,4,4,1465
2025-03-25 08:10:29,3,3,1278
2025-03-25 08:10:31,2,2,2418
2025-03-25 08:10:33,1,1,324
2025-03-25 08:10:35,5,5,13486
2025-03-25 08:10:36,2,2,835
2025-03-25 08:10:38,2,2,17106
2025-03-25 08:10:40,1,1,21732
2025-03-25 08:10:42,3,3,1308
2025-03-25 08:10:43,0,0,0
2025-03-25 08:10:45,1,1,468
2025-03-25 08:10:46,1,1,568
2025-03-25 08:10:48,2,2,2724
2025-03-25 08:10:50,4,4,19702
2025-03-25 08:10:52,0,0,0
2025-03-25 08:10:53,1,1,323
2025-03-25 08:10:55,0,0,0
